Manufacturer,Model Year,Regulatory Class,Vehicle Type,Production ,Production Share,MPG (Avg. City/HW),CO2 g/mi (Avg. City/HW),Footprint (sq. ft.)
GM,2014,Car,Car SUV,366,0.024,24.23,366.81,48.00
Mazda,2014,Truck,Truck SUV,68,0.004,24.26,366.36,47.51
Mazda,2014,Truck,All Truck,79,0.005,24.33,365.26,47.15
Ford,2014,Car,Car SUV,295,0.019,24.40,364.27,46.82
All,2014,Car,Car SUV,1566,0.101,24.44,363.54,46.46
Stellantis,2014,Car,Car SUV,186,0.012,24.57,361.73,44.55
Mercedes,2014,Car,All Car,278,0.018,24.63,360.08,46.62
Mazda,2014,Truck,Minivan/Van,11,0.001,24.78,358.67,45.00
Mercedes,2014,Car,Sedan/Wagon,263,0.017,24.79,357.64,46.60
Nissan,2014,Car,Car SUV,101,0.007,25.14,353.50,46.51
Toyota,2014,Car,Car SUV,118,0.008,25.26,350.55,45.93
Toyota,2014,All,All,2193,0.143,25.42,349.57,48.62
Kia,2014,All,All,536,0.035,25.66,346.31,46.07
Kia,2014,Car,All Car,507,0.033,25.96,342.34,45.84
Honda,2014,Car,Car SUV,163,0.011,26.02,341.51,44.72
GM,2014,Car,All Car,1557,0.102,26.06,340.31,46.28
VW,2014,All,All,591,0.039,26.08,348.37,46.29
BMW,2014,All,All,379,0.025,26.10,341.00,47.84
GM,2014,Car,Sedan/Wagon,1191,0.078,26.68,332.17,45.75
Nissan,2014,All,All,1326,0.087,26.73,331.90,47.24
Honda,2014,All,All,1446,0.094,26.98,329.38,47.01
Ford,2014,Car,All Car,1258,0.082,27.11,327.71,46.40
Subaru,2014,Truck,Truck SUV,357,0.023,27.16,327.18,44.40
Subaru,2014,Truck,All Truck,357,0.023,27.16,327.18,44.40
BMW,2014,Car,All Car,297,0.019,27.22,326.60,47.13
BMW,2014,Car,Sedan/Wagon,297,0.019,27.22,326.60,47.13
Hyundai,2014,All,All,548,0.036,27.22,326.50,46.23
VW,2014,Car,All Car,487,0.032,27.29,332.68,45.51
Subaru,2014,All,All,466,0.03,27.32,325.30,44.32
VW,2014,Car,Sedan/Wagon,473,0.031,27.44,331.04,45.56
Kia,2014,Car,Sedan/Wagon,375,0.024,27.58,322.21,45.48
All,2014,Car,All Car,9205,0.593,27.63,321.57,46.07
Hyundai,2014,Car,All Car,509,0.033,27.78,319.87,46.14
Subaru,2014,Car,All Car,109,0.007,27.85,319.15,44.08
Subaru,2014,Car,Sedan/Wagon,109,0.007,27.85,319.15,44.08
Ford,2014,Car,Sedan/Wagon,963,0.063,28.06,316.51,46.27
Mazda,2014,Car,Car SUV,50,0.003,28.20,315.17,46.10
All,2014,Car,Sedan/Wagon,7639,0.492,28.39,312.96,45.99
Mazda,2014,All,All,296,0.019,29.02,306.24,46.04
Hyundai,2014,Car,Sedan/Wagon,404,0.026,29.35,302.75,45.92
Honda,2014,Car,All Car,868,0.057,29.90,297.22,45.55
Nissan,2014,Car,All Car,936,0.061,29.98,295.58,45.42
Toyota,2014,Car,All Car,1421,0.093,30.32,293.01,45.61
Nissan,2014,Car,Sedan/Wagon,835,0.055,30.69,288.57,45.29
Toyota,2014,Car,Sedan/Wagon,1303,0.085,30.88,287.80,45.59
Honda,2014,Car,Sedan/Wagon,705,0.046,30.96,286.95,45.74
Mazda,2014,Car,All Car,217,0.014,31.20,284.84,45.63
Mazda,2014,Car,Sedan/Wagon,167,0.011,32.22,275.79,45.50
Tesla,2014,Car,Sedan/Wagon,18,0.001,90.17,0.00,53.60
Tesla,2014,Car,All Car,18,0.001,90.17,0.00,53.60
Tesla,2014,All,All,18,0.001,90.17,0.00,53.60
GM,2015,Truck,Minivan/Van,2,0,13.39,663.54,65.24
Toyota,2015,Truck,Pickup,288,0.018,17.68,502.72,60.82
Nissan,2015,Truck,Pickup,76,0.005,18.12,490.53,56.34
Stellantis,2015,Truck,Pickup,256,0.016,18.25,494.05,66.52
All,2015,Truck,Pickup,1786,0.107,18.81,473.52,65.34
Ford,2015,Truck,Pickup,436,0.027,19.00,467.81,68.31
GM,2015,Truck,Pickup,730,0.044,19.47,456.44,65.86
GM,2015,Truck,All Truck,1525,0.093,19.70,451.22,60.26
GM,2015,Truck,Truck SUV,793,0.048,19.94,445.77,55.10
Ford,2015,Truck,All Truck,972,0.059,20.07,442.69,58.86
Stellantis,2015,Truck,All Truck,1416,0.086,20.17,442.26,52.67
Mercedes,2015,Truck,Truck SUV,124,0.008,20.39,440.64,50.44
Mercedes,2015,Truck,All Truck,124,0.008,20.39,440.64,50.44
Toyota,2015,Truck,All Truck,1127,0.068,20.46,434.31,52.18
Stellantis,2015,Truck,Truck SUV,957,0.058,20.58,432.32,48.56
Kia,2015,Truck,Minivan/Van,29,0.002,20.84,426.51,57.49
Ford,2015,Truck,Truck SUV,482,0.029,20.87,425.93,51.06
Stellantis,2015,Truck,Minivan/Van,204,0.012,20.96,423.99,54.52
Toyota,2015,Truck,Minivan/Van,174,0.011,21.00,423.10,56.00
All,2015,Truck,All Truck,7138,0.426,21.05,422.77,53.87
Hyundai,2015,Truck,All Truck,42,0.003,21.46,414.13,47.03
Hyundai,2015,Truck,Truck SUV,42,0.003,21.46,414.13,47.03
VW,2015,Truck,Truck SUV,112,0.007,21.54,420.82,50.05
VW,2015,Truck,All Truck,112,0.007,21.54,420.82,50.05
Kia,2015,Truck,All Truck,49,0.003,21.55,412.44,52.61
Stellantis,2015,All,All,2186,0.133,21.78,408.81,50.70
All,2015,Truck,Minivan/Van,655,0.039,21.78,407.99,54.65
Toyota,2015,Truck,Truck SUV,665,0.04,21.81,407.56,47.43
All,2015,Truck,Truck SUV,4697,0.281,21.94,405.53,49.40
Mercedes,2015,Car,Car SUV,17,0.001,22.08,402.43,46.99
GM,2015,All,All,2857,0.174,22.25,399.22,53.92
Nissan,2015,Truck,All Truck,482,0.029,22.57,393.77,50.64
Kia,2015,Car,Car SUV,121,0.007,22.63,392.75,46.82
Kia,2015,Truck,Truck SUV,20,0.001,22.65,392.43,45.66
BMW,2015,Truck,All Truck,87,0.005,22.65,397.37,51.02
BMW,2015,Truck,Truck SUV,87,0.005,22.65,397.37,51.02
Ford,2015,Truck,Minivan/Van,54,0.003,22.84,389.03,52.18
Ford,2015,All,All,1861,0.113,22.84,388.95,53.10
VW,2015,Car,Car SUV,12,0.001,22.85,388.93,43.80
Honda,2015,Truck,Minivan/Van,130,0.008,23.05,385.52,55.90
Hyundai,2015,Car,Car SUV,81,0.005,23.28,381.51,46.72
Mercedes,2015,All,All,356,0.022,23.40,380.80,48.37
Nissan,2015,Truck,Truck SUV,353,0.021,23.49,378.40,49.54
Mazda,2015,Truck,Truck SUV,70,0.004,24.45,363.49,47.39
Mazda,2015,Truck,All Truck,79,0.005,24.49,362.94,47.11
All,2015,All,All,16739,1,24.65,360.50,49.42
Honda,2015,Truck,All Truck,557,0.034,24.68,360.03,49.11
Ford,2015,Car,Car SUV,206,0.012,24.69,359.92,46.95
Toyota,2015,Car,Car SUV,263,0.016,24.73,359.34,45.99
Mazda,2015,Truck,Minivan/Van,9,0.001,24.77,358.74,45.00
GM,2015,Car,Car SUV,441,0.027,24.80,358.40,47.86
Nissan,2015,Truck,Minivan/Van,53,0.003,24.80,358.29,49.83
Toyota,2015,All,All,2651,0.161,24.97,355.88,48.38
All,2015,Car,Car SUV,1701,0.102,25.14,353.49,46.39
Stellantis,2015,Car,Car SUV,180,0.011,25.18,352.90,44.12
Honda,2015,Truck,Truck SUV,427,0.026,25.23,352.27,47.04
Mercedes,2015,Car,All Car,232,0.014,25.40,348.88,47.27
Stellantis,2015,Car,All Car,770,0.047,25.53,347.26,47.08
Stellantis,2015,Car,Sedan/Wagon,590,0.036,25.64,345.53,47.98
Mercedes,2015,Car,Sedan/Wagon,215,0.013,25.69,344.77,47.29
BMW,2015,All,All,426,0.026,26.06,341.19,47.52
Kia,2015,All,All,675,0.041,26.06,340.85,46.65
GM,2015,Car,All Car,1332,0.081,26.12,339.67,46.67
Kia,2015,Car,All Car,626,0.038,26.50,335.22,46.19
VW,2015,All,All,599,0.036,26.61,339.36,46.04
GM,2015,Car,Sedan/Wagon,891,0.054,26.82,330.40,46.07
Ford,2015,Car,All Car,888,0.054,26.91,330.12,46.80
BMW,2015,Car,Sedan/Wagon,337,0.02,27.11,326.76,46.60
BMW,2015,Car,All Car,339,0.021,27.11,326.73,46.62
Nissan,2015,Car,Car SUV,146,0.009,27.40,324.35,45.99
Hyundai,2015,All,All,645,0.039,27.45,323.71,47.18
Kia,2015,Car,Sedan/Wagon,505,0.031,27.63,321.48,46.04
BMW,2015,Car,Car SUV,2,0,27.63,321.61,48.55
Ford,2015,Car,Sedan/Wagon,682,0.041,27.66,321.13,46.75
Subaru,2015,Truck,Truck SUV,447,0.027,27.89,318.64,44.72
Subaru,2015,Truck,All Truck,447,0.027,27.89,318.64,44.72
Hyundai,2015,Car,All Car,604,0.037,27.99,317.46,47.19
Nissan,2015,All,All,1698,0.103,28.02,315.60,47.14
Subaru,2015,All,All,623,0.038,28.05,316.81,44.72
Mazda,2015,Car,Car SUV,44,0.003,28.10,316.30,46.10
VW,2015,Car,All Car,487,0.03,28.14,320.57,45.12
All,2015,Car,All Car,9601,0.574,28.24,314.20,46.11
VW,2015,Car,Sedan/Wagon,475,0.029,28.31,318.80,45.15
Honda,2015,Car,Car SUV,145,0.009,28.36,313.37,45.14
Subaru,2015,Car,All Car,175,0.011,28.47,312.15,44.71
Subaru,2015,Car,Sedan/Wagon,175,0.011,28.47,312.15,44.71
Honda,2015,All,All,1577,0.096,28.50,311.85,46.47
Hyundai,2015,Car,Sedan/Wagon,523,0.032,28.90,307.51,47.26
All,2015,Car,Sedan/Wagon,7899,0.472,29.01,305.74,46.05
Mazda,2015,All,All,286,0.017,29.20,304.30,46.35
Toyota,2015,Car,All Car,1524,0.093,29.83,297.89,45.57
Nissan,2015,Car,All Car,1216,0.074,30.98,284.65,45.75
Honda,2015,Car,All Car,1021,0.062,31.12,285.56,45.03
Toyota,2015,Car,Sedan/Wagon,1262,0.077,31.17,285.10,45.49
Mazda,2015,Car,All Car,207,0.013,31.52,281.99,46.06
Nissan,2015,Car,Sedan/Wagon,1071,0.065,31.54,279.25,45.72
Honda,2015,Car,Sedan/Wagon,875,0.053,31.63,280.94,45.01
Mazda,2015,Car,Sedan/Wagon,163,0.01,32.59,272.72,46.04
Tesla,2015,Car,Sedan/Wagon,24,0.001,97.14,0.00,53.60
Tesla,2015,Car,All Car,24,0.001,97.14,0.00,53.60
Tesla,2015,All,All,24,0.001,97.14,0.00,53.60
GM,2016,Truck,Minivan/Van,1,0,13.14,676.18,64.82
Toyota,2016,Truck,Pickup,300,0.019,18.11,490.66,61.55
Stellantis,2016,Truck,Pickup,321,0.02,18.25,492.33,66.59
Nissan,2016,Truck,Pickup,99,0.006,18.79,473.05,54.50
All,2016,Truck,Pickup,1907,0.117,18.92,470.92,64.55
Ford,2016,Truck,Pickup,525,0.033,19.06,466.19,68.00
GM,2016,Truck,Truck SUV,692,0.043,19.55,454.48,54.73
GM,2016,Truck,All Truck,1354,0.085,19.56,454.89,59.11
GM,2016,Truck,Pickup,662,0.041,19.58,455.03,63.67
Ford,2016,Truck,All Truck,1127,0.07,19.97,444.92,59.03
Mercedes,2016,Truck,Truck SUV,101,0.006,20.28,440.10,51.19
Toyota,2016,Truck,All Truck,1023,0.064,20.40,435.64,52.50
Stellantis,2016,Truck,All Truck,1366,0.085,20.43,436.42,53.19
Mercedes,2016,Truck,All Truck,110,0.007,20.43,436.73,51.66
Hyundai,2016,Truck,All Truck,20,0.001,20.64,430.61,49.20
Hyundai,2016,Truck,Truck SUV,20,0.001,20.64,430.61,49.20
Ford,2016,Truck,Truck SUV,545,0.034,20.74,428.47,51.05
Kia,2016,Truck,Minivan/Van,50,0.003,20.90,425.23,57.53
Stellantis,2016,Truck,Minivan/Van,247,0.015,20.99,423.49,54.69
Toyota,2016,Truck,Minivan/Van,80,0.005,20.99,423.47,56.00
All,2016,Truck,All Truck,7277,0.447,21.20,419.68,53.68
Stellantis,2016,Truck,Truck SUV,798,0.05,21.27,417.96,47.34
Stellantis,2016,All,All,1999,0.125,21.54,413.30,51.39
Kia,2016,Truck,All Truck,158,0.01,21.59,411.58,51.27
Toyota,2016,Truck,Truck SUV,643,0.04,21.60,411.51,47.84
All,2016,Truck,Minivan/Van,630,0.039,21.66,410.26,55.17
Ford,2016,Truck,Minivan/Van,56,0.004,21.92,405.51,52.50
Kia,2016,Truck,Truck SUV,108,0.007,21.93,405.18,48.33
VW,2016,Truck,Truck SUV,119,0.007,22.06,405.24,48.93
VW,2016,Truck,All Truck,119,0.007,22.06,405.24,48.93
All,2016,Truck,Truck SUV,4741,0.291,22.21,400.32,49.12
Mercedes,2016,Truck,Minivan/Van,9,0.001,22.39,396.95,57.20
BMW,2016,Truck,All Truck,99,0.006,22.39,395.83,50.60
BMW,2016,Truck,Truck SUV,99,0.006,22.39,395.83,50.60
GM,2016,All,All,2577,0.161,22.40,396.76,53.18
VW,2016,Car,Car SUV,23,0.001,22.74,390.87,44.10
Ford,2016,All,All,2105,0.132,22.81,389.09,53.31
Honda,2016,Truck,Minivan/Van,168,0.011,23.05,385.52,55.90
Nissan,2016,Truck,All Truck,409,0.026,23.41,379.70,50.15
Mercedes,2016,All,All,330,0.021,23.65,375.99,48.88
Kia,2016,Car,Car SUV,96,0.006,23.93,371.36,48.11
Stellantis,2016,Car,Sedan/Wagon,391,0.024,24.08,368.16,49.85
Honda,2016,Truck,All Truck,732,0.046,24.31,365.62,49.56
Stellantis,2016,Car,All Car,633,0.04,24.41,363.41,47.52
Nissan,2016,Truck,Minivan/Van,18,0.001,24.45,363.53,51.37
All,2016,All,All,16278,1,24.71,359.35,49.51
Honda,2016,Truck,Truck SUV,563,0.035,24.71,359.68,47.67
Hyundai,2016,Car,Car SUV,160,0.01,24.88,357.11,46.82
Ford,2016,Car,Car SUV,213,0.013,24.94,356.27,47.10
Stellantis,2016,Car,Car SUV,242,0.015,24.98,355.74,43.77
Toyota,2016,All,All,2378,0.149,25.01,355.23,48.52
GM,2016,Car,Car SUV,357,0.022,25.02,355.16,47.12
Mercedes,2016,Car,Car SUV,17,0.001,25.09,354.15,49.79
BMW,2016,All,All,388,0.024,25.40,349.18,47.96
Nissan,2016,Truck,Truck SUV,292,0.018,25.46,349.07,48.60
Mercedes,2016,Car,All Car,220,0.014,25.67,345.68,47.48
Toyota,2016,Car,Car SUV,196,0.012,25.71,345.62,45.65
Mercedes,2016,Car,Sedan/Wagon,204,0.013,25.72,344.99,47.30
All,2016,Car,Car SUV,1870,0.115,26.21,338.19,46.05
Kia,2016,All,All,720,0.045,26.23,338.46,47.08
Mazda,2016,Truck,Truck SUV,153,0.01,26.24,338.64,47.10
Mazda,2016,Truck,All Truck,153,0.01,26.24,338.64,47.10
VW,2016,All,All,562,0.035,26.55,334.26,45.93
BMW,2016,Car,Sedan/Wagon,286,0.018,26.62,333.22,47.03
BMW,2016,Car,All Car,289,0.018,26.63,333.13,47.05
GM,2016,Car,All Car,1223,0.076,26.69,332.38,46.61
Ford,2016,Car,All Car,979,0.061,27.28,324.80,46.72
BMW,2016,Car,Car SUV,3,0,27.32,325.30,48.56
GM,2016,Car,Sedan/Wagon,865,0.054,27.44,322.98,46.40
Nissan,2016,All,All,1352,0.085,27.84,318.46,47.14
Kia,2016,Car,All Car,562,0.035,27.92,317.92,45.90
Subaru,2016,Truck,Truck SUV,402,0.025,27.99,317.53,44.75
Subaru,2016,Truck,All Truck,402,0.025,27.99,317.53,44.75
Ford,2016,Car,Sedan/Wagon,765,0.048,28.01,316.03,46.61
Subaru,2016,All,All,556,0.035,28.06,316.71,44.73
VW,2016,Car,All Car,443,0.028,28.09,315.12,45.12
Honda,2016,All,All,1803,0.113,28.19,315.25,47.02
Subaru,2016,Car,All Car,154,0.01,28.25,314.57,44.67
Subaru,2016,Car,Sedan/Wagon,154,0.01,28.25,314.57,44.67
VW,2016,Car,Sedan/Wagon,420,0.026,28.45,311.01,45.17
All,2016,Car,All Car,9001,0.553,28.53,310.57,46.14
Hyundai,2016,All,All,718,0.045,28.76,308.95,46.34
Nissan,2016,Car,Car SUV,153,0.01,28.79,308.71,46.47
Kia,2016,Car,Sedan/Wagon,466,0.029,28.91,306.91,45.45
Hyundai,2016,Car,All Car,698,0.044,29.08,305.49,46.26
Honda,2016,Car,Car SUV,278,0.017,29.21,304.30,44.11
All,2016,Car,Sedan/Wagon,7131,0.438,29.21,303.32,46.16
Mazda,2016,Car,Car SUV,89,0.006,29.49,301.35,46.10
Mazda,2016,All,All,459,0.029,29.56,300.68,46.00
Toyota,2016,Car,All Car,1355,0.085,30.17,294.53,45.51
Nissan,2016,Car,All Car,943,0.059,30.33,291.90,45.84
Hyundai,2016,Car,Sedan/Wagon,538,0.034,30.61,290.19,46.10
Nissan,2016,Car,Sedan/Wagon,790,0.049,30.65,288.65,45.71
Toyota,2016,Car,Sedan/Wagon,1159,0.072,31.07,285.90,45.48
Mazda,2016,Car,All Car,306,0.019,31.55,281.65,45.44
Honda,2016,Car,All Car,1072,0.067,31.64,280.86,45.28
Mazda,2016,Car,Sedan/Wagon,216,0.014,32.49,273.53,45.17
Honda,2016,Car,Sedan/Wagon,794,0.05,32.59,272.66,45.70
Tesla,2016,Car,Car SUV,18,0.001,91.74,0.00,54.50
Tesla,2016,Car,All Car,46,0.003,96.82,0.00,53.95
Tesla,2016,All,All,46,0.003,96.82,0.00,53.95
Tesla,2016,Car,Sedan/Wagon,28,0.002,100.28,0.00,53.60
GM,2017,Truck,Minivan/Van,1,0,12.71,699.41,65.99
Stellantis,2017,Truck,Pickup,348,0.021,18.10,493.16,66.68
Nissan,2017,Truck,Pickup,124,0.007,18.50,480.36,59.19
Toyota,2017,Truck,Pickup,399,0.024,18.66,476.27,60.47
All,2017,Truck,Pickup,2054,0.121,18.92,470.49,64.78
GM,2017,Truck,Pickup,695,0.042,19.06,467.13,65.61
Ford,2017,Truck,Pickup,438,0.026,19.46,456.76,68.31
GM,2017,Truck,All Truck,1574,0.094,19.71,451.40,58.87
Mercedes,2017,Truck,Truck SUV,141,0.008,19.95,445.22,51.80
Mercedes,2017,Truck,All Truck,146,0.009,20.04,443.41,52.00
GM,2017,Truck,Truck SUV,877,0.053,20.26,438.57,53.51
Ford,2017,Truck,All Truck,1195,0.072,20.31,437.62,57.33
Stellantis,2017,Truck,All Truck,1548,0.093,20.50,433.83,54.12
Hyundai,2017,Truck,All Truck,59,0.004,20.68,429.66,49.20
Hyundai,2017,Truck,Truck SUV,59,0.004,20.68,429.66,49.20
Ford,2017,Truck,Truck SUV,718,0.043,20.80,427.33,50.89
Kia,2017,Truck,Minivan/Van,37,0.002,20.99,423.36,57.56
Stellantis,2017,Truck,Truck SUV,875,0.052,21.03,422.66,48.33
Stellantis,2017,All,All,1920,0.115,21.15,420.30,52.81
Toyota,2017,Truck,All Truck,1231,0.074,21.34,416.54,52.63
All,2017,Truck,All Truck,8061,0.474,21.35,416.48,53.82
Ford,2017,Truck,Minivan/Van,39,0.002,21.54,412.61,52.82
VW,2017,Truck,Truck SUV,164,0.01,21.73,408.26,50.22
VW,2017,Truck,All Truck,164,0.01,21.73,408.26,50.22
Honda,2017,Truck,Pickup,49,0.003,21.81,407.50,57.44
Kia,2017,Truck,All Truck,169,0.01,21.97,404.53,50.04
Stellantis,2017,Truck,Minivan/Van,325,0.019,22.17,400.36,56.28
All,2017,Truck,Minivan/Van,617,0.036,22.23,399.39,55.66
Kia,2017,Truck,Truck SUV,132,0.008,22.26,399.32,47.96
Toyota,2017,Truck,Minivan/Van,146,0.009,22.26,399.16,56.00
All,2017,Truck,Truck SUV,5391,0.317,22.34,397.86,49.43
Mercedes,2017,Truck,Minivan/Van,5,0,22.47,395.56,57.20
Nissan,2017,Truck,All Truck,562,0.034,22.49,395.20,51.95
VW,2017,Car,Car SUV,23,0.001,22.51,394.83,44.10
BMW,2017,Truck,All Truck,107,0.006,22.55,393.44,50.56
BMW,2017,Truck,Truck SUV,107,0.006,22.55,393.44,50.56
GM,2017,All,All,2792,0.167,22.82,388.18,53.52
Ford,2017,All,All,2209,0.132,22.87,388.20,52.53
Mercedes,2017,All,All,345,0.021,23.04,385.08,50.00
Toyota,2017,Truck,Truck SUV,686,0.041,23.06,385.46,47.35
Honda,2017,Truck,Minivan/Van,27,0.002,23.19,383.20,55.90
Stellantis,2017,Car,Sedan/Wagon,199,0.012,23.66,372.98,50.07
Nissan,2017,Truck,Truck SUV,402,0.024,23.86,372.45,49.96
Stellantis,2017,Car,All Car,371,0.022,24.32,363.95,47.36
BMW,2017,Car,Car SUV,18,0.001,24.57,361.63,48.56
Honda,2017,Truck,All Truck,543,0.033,24.86,357.54,49.66
All,2017,All,All,17016,1,24.86,356.72,49.82
Hyundai,2017,Car,Car SUV,289,0.017,24.88,357.16,46.96
Nissan,2017,Truck,Minivan/Van,36,0.002,25.08,354.30,49.10
Kia,2017,Car,Car SUV,106,0.006,25.09,354.21,47.74
Stellantis,2017,Car,Car SUV,172,0.01,25.14,353.52,44.24
Ford,2017,Car,Car SUV,326,0.02,25.23,352.30,46.61
Toyota,2017,All,All,2567,0.154,25.28,351.05,49.00
Honda,2017,Truck,Truck SUV,467,0.028,25.33,350.81,48.48
BMW,2017,All,All,336,0.02,25.77,342.33,47.93
Mazda,2017,Truck,Truck SUV,74,0.004,25.78,344.68,47.24
Mazda,2017,Truck,All Truck,74,0.004,25.78,344.68,47.24
Toyota,2017,Car,Car SUV,268,0.016,25.82,344.19,46.09
Mercedes,2017,Car,Sedan/Wagon,175,0.01,25.86,342.51,48.56
Mercedes,2017,Car,All Car,199,0.012,25.89,342.21,48.52
GM,2017,Car,Car SUV,366,0.022,26.04,341.24,47.03
Mercedes,2017,Car,Car SUV,24,0.001,26.14,339.99,48.28
All,2017,Car,Car SUV,1975,0.116,26.14,339.08,46.54
VW,2017,All,All,664,0.04,26.38,336.30,46.29
Ford,2017,Car,All Car,1014,0.061,26.86,329.91,46.86
Nissan,2017,All,All,1689,0.101,26.90,329.89,48.02
Kia,2017,All,All,611,0.037,27.14,327.06,47.21
BMW,2017,Car,All Car,229,0.014,27.61,318.46,46.70
Mazda,2017,Car,Car SUV,36,0.002,27.65,321.43,46.30
Ford,2017,Car,Sedan/Wagon,687,0.041,27.70,319.29,46.98
BMW,2017,Car,Sedan/Wagon,211,0.013,27.91,314.67,46.53
VW,2017,Car,All Car,500,0.03,28.37,312.69,45.00
Subaru,2017,Truck,Truck SUV,498,0.03,28.48,312.05,45.02
Subaru,2017,Truck,All Truck,498,0.03,28.48,312.05,45.02
Subaru,2017,All,All,680,0.041,28.51,311.73,45.04
Hyundai,2017,All,All,944,0.057,28.57,310.96,46.50
Subaru,2017,Car,All Car,182,0.011,28.59,310.86,45.08
Subaru,2017,Car,Sedan/Wagon,182,0.011,28.59,310.86,45.08
GM,2017,Car,All Car,1219,0.073,28.67,306.54,46.62
VW,2017,Car,Sedan/Wagon,477,0.029,28.74,308.70,45.04
Mazda,2017,All,All,257,0.015,29.05,305.93,45.99
Nissan,2017,Car,Car SUV,165,0.01,29.12,305.22,46.53
All,2017,Car,All Car,8954,0.526,29.19,302.92,46.22
Hyundai,2017,Car,All Car,885,0.053,29.31,303.06,46.32
Honda,2017,All,All,1625,0.097,29.41,302.07,47.14
Honda,2017,Car,Car SUV,136,0.008,29.53,300.95,46.15
Nissan,2017,Car,All Car,1127,0.068,29.81,297.35,46.06
Kia,2017,Car,All Car,442,0.027,29.82,297.54,46.12
Nissan,2017,Car,Sedan/Wagon,962,0.058,29.93,296.00,45.98
GM,2017,Car,Sedan/Wagon,853,0.051,29.97,291.67,46.44
All,2017,Car,Sedan/Wagon,6979,0.41,30.18,292.68,46.14
Toyota,2017,Car,All Car,1336,0.08,30.47,290.69,45.66
Mazda,2017,Car,All Car,183,0.011,30.63,290.13,45.48
Mazda,2017,Car,Sedan/Wagon,147,0.009,31.45,282.54,45.28
Kia,2017,Car,Sedan/Wagon,336,0.02,31.71,279.58,45.61
Toyota,2017,Car,Sedan/Wagon,1068,0.064,31.90,277.29,45.55
Hyundai,2017,Car,Sedan/Wagon,596,0.036,32.08,276.80,46.01
Honda,2017,Car,All Car,1082,0.065,32.38,274.20,45.87
Honda,2017,Car,Sedan/Wagon,945,0.057,32.84,270.35,45.83
Tesla,2017,Car,Car SUV,17,0.001,90.32,0.00,54.80
Tesla,2017,Car,All Car,47,0.003,98.22,0.00,53.77
Tesla,2017,All,All,47,0.003,98.22,0.00,53.77
Tesla,2017,Car,Sedan/Wagon,30,0.002,103.39,0.00,53.19
Toyota,2018,Truck,Pickup,327,0.021,18.18,488.88,61.08
Nissan,2018,Truck,Pickup,103,0.006,18.46,481.47,58.19
Stellantis,2018,Truck,Pickup,229,0.014,18.53,483.26,66.62
All,2018,Truck,Pickup,2259,0.139,19.11,465.99,65.50
GM,2018,Truck,Pickup,860,0.054,19.12,465.68,65.49
Ford,2018,Truck,Pickup,720,0.045,19.79,449.98,68.43
GM,2018,Truck,All Truck,1677,0.105,20.40,436.16,59.18
Ford,2018,Truck,All Truck,1382,0.087,20.52,433.53,59.90
Hyundai,2018,Truck,All Truck,22,0.001,20.63,430.82,49.20
Hyundai,2018,Truck,Truck SUV,22,0.001,20.63,430.82,49.20
Mercedes,2018,Truck,Truck SUV,146,0.009,20.83,426.27,50.95
Mercedes,2018,Truck,All Truck,154,0.01,20.86,425.57,51.29
Kia,2018,Truck,Minivan/Van,18,0.001,20.87,425.78,57.48
Ford,2018,Truck,Minivan/Van,36,0.002,21.29,417.50,53.17
Stellantis,2018,Truck,All Truck,1517,0.095,21.29,417.62,52.75
Toyota,2018,Truck,All Truck,1192,0.075,21.31,416.94,51.58
Ford,2018,Truck,Truck SUV,627,0.039,21.39,415.54,50.47
Mercedes,2018,Truck,Minivan/Van,8,0,21.54,412.58,57.57
Stellantis,2018,Truck,Truck SUV,1043,0.066,21.64,410.77,48.89
Stellantis,2018,All,All,1888,0.119,21.72,409.21,52.00
Honda,2018,Truck,Pickup,21,0.001,21.76,408.46,57.43
All,2018,Truck,All Truck,8459,0.52,21.88,406.32,53.90
GM,2018,Truck,Truck SUV,817,0.051,21.95,405.12,52.54
Kia,2018,Truck,All Truck,106,0.007,22.13,401.54,49.52
Toyota,2018,Truck,Minivan/Van,69,0.004,22.36,397.38,56.00
Stellantis,2018,Car,Sedan/Wagon,229,0.014,22.37,396.97,51.89
Kia,2018,Truck,Truck SUV,89,0.006,22.40,396.74,47.95
Ford,2018,All,All,2103,0.132,22.42,396.53,55.34
Nissan,2018,Truck,All Truck,432,0.027,22.48,395.28,51.66
All,2018,Truck,Minivan/Van,508,0.031,22.76,388.97,55.50
VW,2018,Truck,Truck SUV,399,0.025,22.83,389.15,50.51
VW,2018,Truck,All Truck,399,0.025,22.83,389.15,50.51
Toyota,2018,Truck,Truck SUV,796,0.05,22.84,389.10,47.29
Stellantis,2018,Truck,Minivan/Van,245,0.015,22.86,385.58,56.25
BMW,2018,Truck,All Truck,99,0.006,22.91,386.96,51.09
BMW,2018,Truck,Truck SUV,99,0.006,22.91,386.96,51.09
GM,2018,All,All,2669,0.168,23.00,385.98,54.43
All,2018,Truck,Truck SUV,5692,0.35,23.13,384.18,49.15
Honda,2018,Truck,Minivan/Van,112,0.007,23.27,381.92,55.10
Mercedes,2018,All,All,363,0.023,23.51,377.45,49.55
Stellantis,2018,Car,All Car,371,0.023,23.70,374.77,48.91
VW,2018,Car,Car SUV,4,0,23.71,374.88,44.96
Nissan,2018,Truck,Truck SUV,315,0.02,24.08,369.01,49.69
VW,2018,All,All,729,0.046,24.60,360.92,48.41
